Age_Group,Gender,Income,Completed
45-54,Male,High,No
35-44,Female,Low,No
55-64,Male,Medium,No
35-44,Male,High,No
35-44,Female,Low,No
45-54,Female,High,No
65+,Male,Medium,No
45-54,Female,Medium,No
25-34,Female,Low,No
18-24,Female,Medium,No
65+,Male,Low,No
18-24,Male,High,No
25-34,Female,High,No
65+,Female,High,No
65+,Male,High,No
45-54,Female,Low,No
35-44,Male,High,No
55-64,Male,High,No
25-34,Female,Low,No
45-54,Female,Medium,No
25-34,Male,Medium,No
55-64,Female,High,No
45-54,Male,Low,No
35-44,Female,Low,No
45-54,Female,Medium,No
65+,Female,Medium,No
25-34,Female,Medium,No
55-64,Male,Medium,No
25-34,Female,Medium,No
25-34,Female,Medium,No
65+,Male,Low,No
65+,Female,Low,No
55-64,Female,High,No
55-64,Female,Medium,No
18-24,Female,Low,No
18-24,Male,High,No
55-64,Male,Low,No
18-24,Female,Low,No
45-54,Female,High,No
35-44,Male,Low,No
35-44,Male,Low,No
35-44,Male,Medium,No
25-34,Male,High,No
18-24,Female,Medium,No
18-24,Female,High,No
65+,Female,Low,No
35-44,Female,Medium,No
35-44,Male,Low,No
35-44,Male,High,No
65+,Male,Low,No
55-64,Female,High,No
65+,Male,High,No
18-24,Male,High,No
25-34,Female,Low,No
35-44,Male,High,No
18-24,Female,Low,No
45-54,Female,Low,No
55-64,Male,High,No
55-64,Female,Low,No
35-44,Male,Medium,No
45-54,Female,Medium,No
55-64,Female,Low,No
55-64,Female,Medium,No
65+,Male,Medium,No
45-54,Male,High,No
65+,Male,Low,No
18-24,Male,Medium,No
18-24,Female,Low,No
18-24,Male,High,No
65+,Female,High,No
18-24,Female,Low,No
18-24,Male,Medium,No
45-54,Female,High,No
35-44,Female,Low,No
45-54,Male,Medium,No
18-24,Female,Medium,No
25-34,Male,Low,No
55-64,Male,Low,No
35-44,Male,Medium,No
25-34,Female,Medium,No
55-64,Female,Low,No
18-24,Male,Medium,No
25-34,Male,Medium,No
65+,Female,High,No
45-54,Male,High,No
35-44,Male,High,No
65+,Female,Low,No
45-54,Female,Medium,No
65+,Male,High,No
18-24,Male,High,No
65+,Female,Low,No
35-44,Female,High,No
45-54,Male,Medium,No
35-44,Male,High,No
45-54,Female,High,No
45-54,Male,Low,No
25-34,Female,Low,No
35-44,Female,Low,No
18-24,Female,High,No
65+,Female,High,No
45-54,Female,Medium,No
18-24,Female,Low,No
25-34,Male,Medium,No
45-54,Male,Low,No
35-44,Male,Low,No
18-24,Male,High,No
35-44,Female,Medium,No
18-24,Female,High,No
18-24,Female,Medium,No
45-54,Female,High,No
65+,Male,High,No
18-24,Male,Medium,No
65+,Female,Medium,No
65+,Male,Low,No
18-24,Female,Low,No
45-54,Male,Medium,No
55-64,Female,High,No
35-44,Male,Low,No
45-54,Male,High,No
65+,Male,Medium,No
65+,Female,Medium,No
65+,Male,High,No
65+,Female,High,No
35-44,Female,Low,No
65+,Male,High,No
18-24,Male,Low,No
35-44,Female,High,No
18-24,Female,Low,No
45-54,Female,Medium,No
55-64,Female,Low,No
65+,Male,Low,No
55-64,Female,Low,No
18-24,Female,Low,No
35-44,Female,Low,No
45-54,Male,Low,No
55-64,Female,High,No
18-24,Female,High,No
25-34,Male,Medium,No
65+,Female,High,No
65+,Female,Medium,No
65+,Male,Medium,No
35-44,Female,Medium,No
25-34,Male,Low,No
18-24,Male,Medium,No
55-64,Female,High,No
25-34,Male,Medium,No
18-24,Female,Low,No
45-54,Female,High,No
18-24,Female,Low,No
45-54,Male,Medium,No
65+,Female,High,No
45-54,Female,Medium,No
65+,Male,Low,No
25-34,Male,Medium,No
55-64,Female,Medium,No
25-34,Female,Low,No
45-54,Female,Medium,No
65+,Male,Low,No
18-24,Female,Low,No
45-54,Female,Low,No
45-54,Female,Low,No
45-54,Female,High,No
35-44,Male,Low,No
25-34,Female,Medium,No
65+,Male,Low,No
35-44,Female,Medium,No
25-34,Male,Medium,No
55-64,Female,High,No
18-24,Female,Low,No
18-24,Female,Medium,No
18-24,Male,Medium,No
65+,Female,Low,No
55-64,Male,Low,No
55-64,Male,High,No
55-64,Female,Low,No
35-44,Female,Medium,No
35-44,Male,Medium,No
18-24,Male,Medium,No
45-54,Male,High,No
18-24,Female,Medium,No
65+,Female,Low,No
45-54,Female,Medium,No
25-34,Female,Low,No
45-54,Male,Medium,No
65+,Male,High,No
25-34,Female,Medium,No
55-64,Female,Medium,No
45-54,Male,Medium,No
25-34,Male,Medium,No
18-24,Female,Low,No
55-64,Female,High,No
25-34,Male,High,No
45-54,Female,Medium,No
35-44,Female,Low,No
18-24,Male,High,No
35-44,Male,High,No
18-24,Male,Medium,No
35-44,Female,Low,No
55-64,Female,High,No
65+,Female,Low,No
35-44,Female,High,No
18-24,Female,Low,No
25-34,Female,Medium,No
65+,Female,High,No
18-24,Male,Medium,No
55-64,Female,Low,No
35-44,Male,Low,No
55-64,Male,Low,No
45-54,Female,Low,No
18-24,Female,High,No
18-24,Male,Medium,No
18-24,Male,High,No
65+,Female,Low,No
45-54,Male,High,No
55-64,Male,Low,No
35-44,Male,Medium,No
18-24,Male,Medium,No
45-54,Female,Low,No
65+,Male,High,No
35-44,Male,Low,No
18-24,Male,Low,No
45-54,Female,High,No
45-54,Male,Medium,No
55-64,Male,High,No
45-54,Male,High,No
55-64,Female,Low,No
18-24,Male,Low,No
55-64,Female,Medium,No
65+,Male,Medium,No
55-64,Male,High,No
55-64,Male,High,No
25-34,Male,Low,No
25-34,Female,Low,No
55-64,Female,High,No
65+,Male,Medium,No
18-24,Female,High,No
25-34,Female,Low,No
55-64,Male,Medium,No
35-44,Female,Low,No
18-24,Female,Low,No
18-24,Male,Medium,No
45-54,Male,High,No
55-64,Female,Medium,No
35-44,Female,Medium,No
35-44,Male,Medium,No
35-44,Male,Low,No
25-34,Female,Medium,No
25-34,Female,Low,No
18-24,Male,Low,No
35-44,Male,Medium,No
18-24,Male,Low,No
18-24,Female,Low,No
65+,Male,Medium,No
25-34,Female,Low,No
55-64,Male,High,No
55-64,Female,Medium,No
55-64,Male,Low,No
45-54,Male,High,No
45-54,Male,Medium,No
18-24,Male,Medium,No
18-24,Male,Medium,No
65+,Male,High,No
18-24,Male,Medium,No
65+,Female,Low,No
25-34,Female,Medium,No
25-34,Female,Medium,No
45-54,Female,Low,No
18-24,Female,High,No
65+,Male,Low,No
18-24,Male,Low,No
45-54,Male,Low,No
55-64,Female,High,No
55-64,Female,Medium,No
35-44,Female,Low,No
18-24,Female,Medium,No
65+,Female,High,No
55-64,Male,High,No
18-24,Female,Low,No
25-34,Female,High,No
18-24,Male,Low,No
25-34,Male,Low,No
65+,Male,High,No
18-24,Male,Low,No
25-34,Male,High,No
18-24,Male,High,No
65+,Female,Low,No
55-64,Male,Low,No
65+,Male,Low,No
55-64,Male,Low,No
25-34,Female,High,No
18-24,Male,Medium,No
18-24,Female,Low,No
35-44,Male,Low,No
45-54,Female,Low,No
18-24,Female,Medium,No
45-54,Male,High,No
25-34,Female,Medium,No
65+,Female,High,No
35-44,Female,Low,No
65+,Female,Low,No
65+,Female,High,No
18-24,Male,High,No
55-64,Male,Medium,No
25-34,Male,High,No
65+,Female,Medium,No
65+,Female,Medium,No
25-34,Female,High,No
35-44,Male,High,No
25-34,Female,Low,No
65+,Male,High,No
45-54,Female,High,No
25-34,Male,Low,No
55-64,Male,Medium,No
18-24,Female,Low,No
45-54,Female,Low,No
25-34,Female,Low,No
25-34,Male,Medium,No
35-44,Male,High,No
35-44,Male,Low,No
35-44,Female,Low,No
35-44,Female,High,No
35-44,Male,Medium,No
55-64,Female,High,No
35-44,Male,Low,No
25-34,Female,Medium,No
55-64,Female,Low,No
65+,Male,Low,No
18-24,Female,Medium,No
65+,Female,Low,No
65+,Female,Low,No
35-44,Male,Medium,No
18-24,Male,Low,No
65+,Male,Medium,No
35-44,Male,Low,No
18-24,Female,Low,No
18-24,Male,Low,No
45-54,Male,High,No
65+,Female,Medium,No
45-54,Male,Medium,No
25-34,Male,Medium,No
65+,Male,High,No
35-44,Male,High,No
65+,Male,High,No
45-54,Male,Medium,No
25-34,Female,High,No
35-44,Male,Low,No
55-64,Female,Medium,No
18-24,Male,High,No
65+,Female,Medium,No
45-54,Male,Low,No
55-64,Female,Low,No
45-54,Female,High,No
18-24,Male,Medium,No
45-54,Male,Medium,No
25-34,Male,Low,No
45-54,Male,Medium,No
18-24,Male,Medium,No
45-54,Female,Medium,No
35-44,Female,High,No
55-64,Female,Low,No
18-24,Male,Low,No
65+,Male,Medium,No
65+,Male,Medium,No
35-44,Female,Medium,No
65+,Male,High,No
18-24,Male,High,No
35-44,Male,Low,No
45-54,Female,High,No
65+,Female,High,No
45-54,Male,Medium,No
65+,Male,Medium,No
65+,Male,Medium,No
18-24,Female,High,No
35-44,Female,Medium,No
35-44,Male,Low,No
65+,Female,Medium,No
45-54,Male,Low,No
45-54,Male,High,No
18-24,Female,Medium,No
65+,Male,Medium,No
35-44,Male,Low,No
35-44,Male,Low,No
65+,Female,Medium,No
55-64,Male,Medium,No
45-54,Female,Low,No
25-34,Female,Low,No
55-64,Male,Low,No
18-24,Male,High,No
65+,Male,High,No
65+,Male,Low,No
55-64,Female,Medium,No
65+,Male,High,No
18-24,Female,High,No
35-44,Male,Medium,No
45-54,Female,Low,No
35-44,Male,Low,No
65+,Female,Medium,No
35-44,Male,Low,No
55-64,Male,High,No
65+,Female,Medium,No
45-54,Male,Low,No
25-34,Male,Medium,No
65+,Female,High,No
55-64,Female,Low,No
18-24,Male,Low,No
18-24,Male,High,No
25-34,Female,Low,No
35-44,Male,High,No
65+,Female,High,No
35-44,Female,Medium,No
45-54,Male,High,No
55-64,Male,Medium,No
35-44,Female,Low,No
65+,Male,Low,No
55-64,Male,High,No
18-24,Female,Medium,No
25-34,Female,Low,No
35-44,Female,Low,No
65+,Female,Low,No
45-54,Male,High,No
55-64,Female,Low,No
55-64,Male,Low,No
25-34,Male,High,No
35-44,Male,Medium,No
35-44,Male,Low,No
45-54,Male,Medium,No
25-34,Female,Medium,No
65+,Female,High,No
25-34,Female,High,No
45-54,Female,Low,No
65+,Female,Low,No
18-24,Male,High,No
45-54,Female,Low,No
55-64,Female,High,No
25-34,Male,High,No
25-34,Male,Medium,No
35-44,Male,Medium,No
18-24,Female,High,No
18-24,Female,Low,No
55-64,Female,Medium,No
45-54,Female,High,No
18-24,Male,High,No
65+,Male,High,No
55-64,Male,Low,No
55-64,Male,Medium,No
45-54,Male,Low,No
25-34,Male,High,No
45-54,Male,Medium,No
35-44,Female,Medium,No
25-34,Male,Medium,No
35-44,Male,High,No
35-44,Female,High,No
35-44,Female,Low,No
45-54,Female,Low,No
18-24,Male,Low,No
35-44,Female,Medium,No
45-54,Female,Low,No
18-24,Male,Low,No
45-54,Male,Low,No
45-54,Female,Medium,No
45-54,Male,Low,No
18-24,Male,Low,No
55-64,Female,High,No
35-44,Male,High,No
65+,Female,Medium,No
55-64,Male,Low,No
55-64,Female,High,No
25-34,Male,Medium,No
35-44,Male,Medium,No
25-34,Female,Low,No
25-34,Female,Medium,No
35-44,Male,Low,No
55-64,Male,High,No
35-44,Female,Medium,No
25-34,Male,Medium,No
25-34,Female,Low,No
45-54,Female,Medium,No
55-64,Female,Low,No
18-24,Male,High,No
35-44,Male,Low,No
65+,Male,High,No
55-64,Male,High,No
18-24,Female,High,No
25-34,Male,Medium,No
65+,Male,Low,No
65+,Male,Medium,No
25-34,Male,Medium,No
18-24,Male,Low,No
35-44,Female,Low,No
35-44,Female,Low,No
45-54,Female,Medium,No
18-24,Male,Low,No
45-54,Male,Medium,No
25-34,Male,High,No
45-54,Female,Low,No
55-64,Female,Medium,No
18-24,Female,Low,No
45-54,Male,Medium,No
65+,Female,Low,No
25-34,Female,High,No
65+,Male,Low,Yes
25-34,Male,Low,Yes
65+,Male,Medium,Yes
55-64,Male,High,Yes
18-24,Female,Medium,Yes
35-44,Female,Medium,Yes
25-34,Male,Low,Yes
25-34,Male,Low,Yes
35-44,Female,Medium,Yes
55-64,Female,Low,Yes
65+,Female,Low,Yes
55-64,Male,Medium,Yes
25-34,Female,High,Yes
55-64,Female,Medium,Yes
55-64,Male,Low,Yes
65+,Male,Medium,Yes
45-54,Male,Low,Yes
55-64,Male,Medium,Yes
55-64,Male,Medium,Yes
55-64,Female,Medium,Yes
25-34,Female,Medium,Yes
45-54,Female,High,Yes
18-24,Male,Low,Yes
45-54,Male,Medium,Yes
55-64,Male,High,Yes
35-44,Female,Low,Yes
35-44,Male,High,Yes
65+,Female,High,Yes
65+,Female,Low,Yes
18-24,Female,High,Yes
45-54,Male,High,Yes
45-54,Male,Low,Yes
65+,Male,Low,Yes
35-44,Female,Low,Yes
25-34,Female,Low,Yes
18-24,Male,Low,Yes
18-24,Male,Low,Yes
35-44,Female,Medium,Yes
18-24,Male,High,Yes
35-44,Female,Low,Yes
45-54,Female,High,Yes
65+,Female,Medium,Yes
45-54,Male,Low,Yes
45-54,Male,High,Yes
18-24,Male,Low,Yes
25-34,Male,High,Yes
18-24,Male,Medium,Yes
35-44,Female,High,Yes
55-64,Male,High,Yes
55-64,Female,Medium,Yes
18-24,Female,Low,Yes
45-54,Male,High,Yes
25-34,Male,Low,Yes
25-34,Male,Medium,Yes
18-24,Male,Medium,Yes
55-64,Female,Medium,Yes
65+,Male,Low,Yes
18-24,Male,Medium,Yes
35-44,Male,Low,Yes
25-34,Male,Medium,Yes
45-54,Male,High,Yes
25-34,Male,Medium,Yes
18-24,Female,High,Yes
35-44,Female,Low,Yes
25-34,Male,Low,Yes
35-44,Female,Medium,Yes
45-54,Male,High,Yes
18-24,Female,Low,Yes
65+,Male,Low,Yes
25-34,Male,Low,Yes
25-34,Female,Medium,Yes
25-34,Male,High,Yes
25-34,Female,Medium,Yes
35-44,Male,Low,Yes
55-64,Female,High,Yes
35-44,Male,Medium,Yes
45-54,Male,Medium,Yes
18-24,Male,Medium,Yes
55-64,Female,Low,Yes
45-54,Male,Low,Yes
25-34,Female,Low,Yes
45-54,Male,Low,Yes
65+,Male,High,Yes
55-64,Female,Medium,Yes
25-34,Female,Medium,Yes
65+,Male,Low,Yes
18-24,Male,Medium,Yes
18-24,Male,Low,Yes
18-24,Female,High,Yes
25-34,Male,Low,Yes
55-64,Male,Medium,Yes
65+,Female,High,Yes
65+,Male,Medium,Yes
18-24,Male,High,Yes
45-54,Male,High,Yes
65+,Male,High,Yes
55-64,Female,Medium,Yes
35-44,Female,Low,Yes
25-34,Male,Low,Yes
25-34,Male,Medium,Yes
55-64,Male,Medium,Yes
18-24,Male,High,Yes
45-54,Female,Low,Yes
55-64,Male,Medium,Yes
35-44,Female,Medium,Yes
65+,Male,High,Yes
35-44,Female,Low,Yes
55-64,Male,Low,Yes
18-24,Female,Medium,Yes
55-64,Female,High,Yes
18-24,Female,High,Yes
35-44,Female,Low,Yes
18-24,Male,Low,Yes
25-34,Female,Medium,Yes
18-24,Male,Low,Yes
55-64,Male,High,Yes
25-34,Female,High,Yes
65+,Female,High,Yes
55-64,Female,Medium,Yes
25-34,Female,Low,Yes
45-54,Female,Low,Yes
45-54,Male,Low,Yes
18-24,Female,Low,Yes
65+,Male,High,Yes
25-34,Male,Medium,Yes
35-44,Male,Low,Yes
18-24,Female,High,Yes
45-54,Male,High,Yes
35-44,Female,Low,Yes
55-64,Male,Low,Yes
18-24,Male,Medium,Yes
45-54,Male,High,Yes
65+,Female,High,Yes
55-64,Male,Low,Yes
25-34,Male,High,Yes
25-34,Female,High,Yes
55-64,Female,High,Yes
25-34,Female,Medium,Yes
65+,Male,Low,Yes
45-54,Male,Medium,Yes
55-64,Female,High,Yes
18-24,Male,Low,Yes
25-34,Female,Low,Yes
35-44,Female,Medium,Yes
35-44,Female,High,Yes
25-34,Male,Medium,Yes
45-54,Female,High,Yes
65+,Male,Low,Yes
65+,Female,Medium,Yes
45-54,Male,Low,Yes
45-54,Female,Low,Yes
25-34,Female,Low,Yes
65+,Female,High,Yes
25-34,Female,Medium,Yes
55-64,Female,High,Yes
35-44,Female,Low,Yes
45-54,Male,Low,Yes
