Age_Group,Gender,Income,Completed,Treatment,T1,T2,T3
45-54,Male,High,No,Rational,5,7,6
35-44,Female,Low,No,Rational,6,7,7
55-64,Male,Medium,No,Emotional,6,7,6
35-44,Male,High,No,Rational,5,7,7
35-44,Female,Low,No,Emotional,4,6,6
45-54,Female,High,No,Rational,3,5,5
65+,Male,Medium,No,Rational,3,5,4
45-54,Female,Medium,No,Emotional,4,6,6
25-34,Female,Low,No,Emotional,3,5,4
18-24,Female,Medium,No,Rational,4,6,6
65+,Male,Low,No,Emotional,3,6,5
18-24,Male,High,No,Emotional,3,5,5
25-34,Female,High,No,Rational,4,6,7
65+,Female,High,No,Rational,4,6,6
65+,Male,High,No,Emotional,4,6,6
45-54,Female,Low,No,Emotional,3,5,3
35-44,Male,High,No,Rational,4,6,6
55-64,Male,High,No,Emotional,4,6,4
25-34,Female,Low,No,Rational,5,7,7
45-54,Female,Medium,No,Emotional,4,6,4
25-34,Male,Medium,No,Rational,3,5,5
55-64,Female,High,No,Emotional,3,5,3
45-54,Male,Low,No,Emotional,4,6,5
35-44,Female,Low,No,Rational,3,5,4
45-54,Female,Medium,No,Rational,4,7,7
65+,Female,Medium,No,Emotional,5,7,6
25-34,Female,Medium,No,Emotional,4,6,5
55-64,Male,Medium,No,Rational,4,7,7
25-34,Female,Medium,No,Rational,3,5,4
25-34,Female,Medium,No,Emotional,4,6,4
65+,Male,Low,No,Emotional,4,6,5
65+,Female,Low,No,Rational,4,6,7
55-64,Female,High,No,Emotional,4,6,5
55-64,Female,Medium,No,Emotional,4,6,5
18-24,Female,Low,No,Rational,4,6,6
18-24,Male,High,No,Rational,4,7,7
55-64,Male,Low,No,Rational,4,6,7
18-24,Female,Low,No,Emotional,4,6,3
45-54,Female,High,No,Emotional,4,6,5
35-44,Male,Low,No,Emotional,3,5,3
35-44,Male,Low,No,Rational,5,7,6
35-44,Male,Medium,No,Rational,2,4,2
25-34,Male,High,No,Emotional,3,5,4
18-24,Female,Medium,No,Rational,3,5,5
18-24,Female,High,No,Emotional,3,5,4
65+,Female,Low,No,Emotional,6,7,6
35-44,Female,Medium,No,Rational,5,7,7
35-44,Male,Low,No,Rational,6,7,7
35-44,Male,High,No,Rational,4,6,7
65+,Male,Low,No,Rational,2,4,4
55-64,Female,High,No,Emotional,4,6,5
65+,Male,High,No,Rational,4,6,6
18-24,Male,High,No,Rational,6,7,7
25-34,Female,Low,No,Emotional,5,7,5
35-44,Male,High,No,Rational,5,7,6
18-24,Female,Low,No,Emotional,4,6,4
45-54,Female,Low,No,Rational,4,6,6
55-64,Male,High,No,Rational,3,5,5
55-64,Female,Low,No,Rational,4,6,6
35-44,Male,Medium,No,Rational,6,7,5
45-54,Female,Medium,No,Emotional,5,7,6
55-64,Female,Low,No,Emotional,5,7,5
55-64,Female,Medium,No,Rational,5,7,7
65+,Male,Medium,No,Rational,2,4,3
45-54,Male,High,No,Rational,4,6,6
65+,Male,Low,No,Rational,4,6,6
18-24,Male,Medium,No,Rational,4,6,6
18-24,Female,Low,No,Emotional,5,7,5
18-24,Male,High,No,Emotional,2,4,2
65+,Female,High,No,Rational,5,7,4
18-24,Female,Low,No,Emotional,5,7,5
18-24,Male,Medium,No,Emotional,5,7,5
45-54,Female,High,No,Rational,3,5,5
35-44,Female,Low,No,Emotional,4,7,7
45-54,Male,Medium,No,Emotional,5,7,6
18-24,Female,Medium,No,Rational,5,7,7
25-34,Male,Low,No,Emotional,3,5,4
55-64,Male,Low,No,Rational,4,6,6
35-44,Male,Medium,No,Rational,7,7,7
25-34,Female,Medium,No,Emotional,4,6,4
55-64,Female,Low,No,Rational,3,5,4
18-24,Male,Medium,No,Rational,5,7,7
25-34,Male,Medium,No,Rational,3,5,4
65+,Female,High,No,Emotional,4,6,4
45-54,Male,High,No,Emotional,7,7,7
35-44,Male,High,No,Emotional,3,5,4
65+,Female,Low,No,Emotional,5,7,6
45-54,Female,Medium,No,Rational,4,5,5
